Defense,Mean_AUC,Std_AUC,Min_AUC,Mean_TPR@5%,Mean_F1
L2 Filter (Ablation),0.9868,0.0545,0.756,0.962,0.9846
Krum,0.9851,0.0628,0.7188,0.958,0.9822
TrimmedMean,0.9787,0.0851,0.6196,0.941,0.9799
FoolsGold,0.9781,0.0946,0.5766,0.948,0.9826
FLAME,0.9676,0.1029,0.5964,0.914,0.9725
PINN Guard (Euclidean),0.9556,0.1365,0.4548,0.899,0.9649
FLTrust,0.9089,0.0696,0.6972,0.327,0.944
DeepSight,0.7967,0.2755,0.2952,0.639,0.8775
RLR,0.4848,0.0538,0.3788,0.0535,0.6701
PINN Guard (Fisher),0.3678,0.4692,0.0,0.311,0.7748
